Date,Year,Day,Month,GroundName,Cost,TotalCustomers
26,2012,Friday,March,Ground1,1070,17
27,2012,Saturday,March,Ground1,1360,21
28,2012,Monday,March,Ground1,965,16
29,2012,Tuesday,March,Ground1,1110,16
30,2012,Wednesday,March,Ground1,940,16
1,2012,Thursday,April,Ground1,2080,30
2,2012,Wednesday,April,Ground1,2000,30
3,2012,Thursday,April,Ground1,1820,29
4,2012,Monday,April,Ground1,1980,27
5,2012,Friday,April,Ground1,1825,26
6,2012,Thursday,April,Ground1,2010,30
7,2012,Monday,April,Ground1,1150,18
8,2012,Thursday,April,Ground1,1615,27
9,2012,Thursday,April,Ground1,1880,27
10,2012,Tuesday,April,Ground1,1740,28
11,2012,Thursday,April,Ground1,1830,27
12,2012,Friday,April,Ground1,1320,18
13,2012,Friday,April,Ground1,2040,30
14,2012,Monday,April,Ground1,1800,30
15,2012,Tuesday,April,Ground1,1490,22
16,2012,Monday,April,Ground1,1735,26
17,2012,Saturday,April,Ground1,2365,34
18,2012,Sunday,April,Ground1,1845,27
19,2012,Friday,April,Ground1,1395,20
20,2012,Wednesday,April,Ground1,1410,25
21,2012,Monday,April,Ground1,1935,26
22,2012,Friday,April,Ground1,1065,19
23,2012,Tuesday,April,Ground1,1815,25
24,2012,Wednesday,April,Ground1,1880,29
25,2012,Monday,April,Ground1,1740,29
26,2012,Monday,April,Ground1,1400,22
27,2012,Monday,April,Ground1,1955,29
28,2012,Monday,April,Ground1,1860,29
29,2012,Monday,April,Ground1,1345,19
30,2012,Tuesday,April,Ground1,1900,28
1,2012,Friday,May,Ground1,1650,24
2,2012,Friday,May,Ground1,1365,21
3,2012,Friday,May,Ground1,1805,27
4,2012,Sunday,May,Ground1,1475,24
5,2012,Thursday,May,Ground1,1420,20
6,2012,Wednesday,May,Ground1,1865,29
7,2012,Monday,May,Ground1,1560,24
8,2012,Wednesday,May,Ground1,1200,18
9,2012,Sunday,May,Ground1,1885,30
10,2012,Thursday,May,Ground1,1375,21
11,2012,Thursday,May,Ground1,2140,31
12,2012,Thursday,May,Ground1,1735,27
13,2012,Wednesday,May,Ground1,1455,23
14,2012,Monday,May,Ground1,1310,19
15,2012,Friday,May,Ground1,1360,21
16,2012,Saturday,May,Ground1,1555,25
17,2012,Wednesday,May,Ground1,1775,26
18,2012,Wednesday,May,Ground1,1130,18
19,2012,Tuesday,May,Ground1,1965,31
20,2012,Saturday,May,Ground1,1535,24
21,2012,Monday,May,Ground1,1820,27
22,2012,Saturday,May,Ground1,1920,28
23,2012,Saturday,May,Ground1,1660,26
24,2012,Saturday,May,Ground1,1255,21
25,2012,Thursday,May,Ground1,1735,26
26,2012,Sunday,May,Ground1,2175,33
27,2012,Thursday,May,Ground1,1360,20
28,2012,Monday,May,Ground1,1680,26
29,2012,Friday,May,Ground1,1630,27
30,2012,Thursday,May,Ground1,1700,28
1,2012,Saturday,June,Ground1,1790,27
2,2012,Thursday,June,Ground1,1505,21
3,2012,Friday,June,Ground1,1570,24
4,2012,Tuesday,June,Ground1,1410,23
5,2012,Saturday,June,Ground1,1615,26
6,2012,Thursday,June,Ground1,1385,22
7,2012,Monday,June,Ground1,1910,31
8,2012,Wednesday,June,Ground1,1915,30
9,2012,Wednesday,June,Ground1,1950,28
10,2012,Friday,June,Ground1,1845,27
11,2012,Sunday,June,Ground1,2105,30
12,2012,Saturday,June,Ground1,1285,22
13,2012,Monday,June,Ground1,1435,25
14,2012,Monday,June,Ground1,1700,27
15,2012,Saturday,June,Ground1,1735,26
16,2012,Tuesday,June,Ground1,1985,27
17,2012,Tuesday,June,Ground1,1580,25
18,2012,Saturday,June,Ground1,1100,19
19,2012,Sunday,June,Ground1,1525,21
20,2012,Tuesday,June,Ground1,1460,22
21,2012,Monday,June,Ground1,1590,23
22,2012,Tuesday,June,Ground1,1720,25
23,2012,Sunday,June,Ground1,1970,31
24,2012,Sunday,June,Ground1,2040,28
25,2012,Thursday,June,Ground1,1535,24
26,2012,Thursday,June,Ground1,1810,27
27,2012,Wednesday,June,Ground1,1440,22
28,2012,Monday,June,Ground1,1955,30
29,2012,Tuesday,June,Ground1,1280,20
30,2012,Thursday,June,Ground1,1400,22
1,2012,Sunday,July,Ground1,1405,20
2,2012,Thursday,July,Ground1,1465,22
3,2012,Monday,July,Ground1,1535,25
4,2012,Saturday,July,Ground1,1740,29
5,2012,Monday,July,Ground1,2075,32
6,2012,Friday,July,Ground1,1960,28
7,2012,Monday,July,Ground1,1815,27
8,2012,Saturday,July,Ground1,1735,27
9,2012,Thursday,July,Ground1,1680,27
10,2012,Tuesday,July,Ground1,1475,21
11,2012,Thursday,July,Ground1,1795,27
12,2012,Friday,July,Ground1,1210,21
13,2012,Tuesday,July,Ground1,1520,21
14,2012,Monday,July,Ground1,2090,31
15,2012,Wednesday,July,Ground1,1595,27
16,2012,Thursday,July,Ground1,1225,20
17,2012,Tuesday,July,Ground1,2060,29
18,2012,Monday,July,Ground1,1335,21
19,2012,Wednesday,July,Ground1,1345,22
20,2012,Monday,July,Ground1,1645,26
21,2012,Monday,July,Ground1,1595,25
22,2012,Thursday,July,Ground1,1150,18
23,2012,Sunday,July,Ground1,1855,29
24,2012,Monday,July,Ground1,1630,27
25,2012,Sunday,July,Ground1,1875,31
26,2012,Thursday,July,Ground1,1650,26
27,2012,Thursday,July,Ground1,1965,30
28,2012,Monday,July,Ground1,1305,20
29,2012,Saturday,July,Ground1,1655,24
30,2012,Friday,July,Ground1,1350,21
1,2012,Monday,August,Ground1,280,5
2,2012,Tuesday,August,Ground1,375,6
3,2012,Tuesday,August,Ground1,180,3
4,2012,Tuesday,August,Ground1,315,6
5,2012,Friday,August,Ground1,280,4
6,2012,Friday,August,Ground1,245,4
7,2012,Monday,August,Ground1,180,4
8,2012,Thursday,August,Ground1,55,2
9,2012,Wednesday,August,Ground1,275,5
10,2012,Saturday,August,Ground1,460,8
11,2012,Monday,August,Ground1,190,4
12,2012,Tuesday,August,Ground1,145,4
13,2012,Friday,August,Ground1,295,6
14,2012,Monday,August,Ground1,195,4
15,2012,Thursday,August,Ground1,120,3
16,2012,Friday,August,Ground1,225,4
17,2012,Wednesday,August,Ground1,160,3
18,2012,Tuesday,August,Ground1,0,0
19,2012,Thursday,August,Ground1,0,1
20,2012,Saturday,August,Ground1,415,8
21,2012,Monday,August,Ground1,455,7
22,2012,Sunday,August,Ground1,420,7
23,2012,Saturday,August,Ground1,250,4
24,2012,Wednesday,August,Ground1,595,9
25,2012,Friday,August,Ground1,170,3
26,2012,Thursday,August,Ground1,190,4
27,2012,Friday,August,Ground1,200,3
28,2012,Monday,August,Ground1,295,6
29,2012,Saturday,August,Ground1,135,3
30,2012,Friday,August,Ground1,135,3
1,2012,Tuesday,September,Ground1,0,1
2,2012,Wednesday,September,Ground1,455,8
3,2012,Monday,September,Ground1,225,5
4,2012,Wednesday,September,Ground1,155,3
5,2012,Thursday,September,Ground1,100,3
6,2012,Saturday,September,Ground1,360,7
7,2012,Monday,September,Ground1,255,5
8,2012,Friday,September,Ground1,495,8
9,2012,Monday,September,Ground1,110,3
10,2012,Sunday,September,Ground1,345,7
11,2012,Thursday,September,Ground1,450,8
12,2012,Monday,September,Ground1,220,4
13,2012,Friday,September,Ground1,100,2
14,2012,Monday,September,Ground1,330,6
15,2012,Saturday,September,Ground1,455,7
16,2012,Saturday,September,Ground1,375,6
17,2012,Tuesday,September,Ground1,225,5
18,2012,Wednesday,September,Ground1,280,4
19,2012,Tuesday,September,Ground1,170,3
20,2012,Saturday,September,Ground1,530,9
21,2012,Monday,September,Ground1,280,4
22,2012,Thursday,September,Ground1,195,5
23,2012,Tuesday,September,Ground1,415,7
24,2012,Friday,September,Ground1,230,5
25,2012,Wednesday,September,Ground1,230,4
26,2012,Tuesday,September,Ground1,410,6
27,2012,Wednesday,September,Ground1,245,5
28,2012,Monday,September,Ground1,300,5
29,2012,Friday,September,Ground1,645,9
30,2012,Wednesday,September,Ground1,135,3
1,2012,Wednesday,October,Ground1,770,11
2,2012,Sunday,October,Ground1,590,11
3,2012,Wednesday,October,Ground1,765,10
4,2012,Tuesday,October,Ground1,990,16
5,2012,Saturday,October,Ground1,815,14
6,2012,Tuesday,October,Ground1,620,11
7,2012,Monday,October,Ground1,615,8
8,2012,Monday,October,Ground1,660,10
9,2012,Friday,October,Ground1,565,9
10,2012,Thursday,October,Ground1,740,13
11,2012,Sunday,October,Ground1,990,15
12,2012,Monday,October,Ground1,780,12
13,2012,Thursday,October,Ground1,865,14
14,2012,Monday,October,Ground1,455,8
15,2012,Monday,October,Ground1,635,10
16,2012,Friday,October,Ground1,580,10
17,2012,Sunday,October,Ground1,1065,17
18,2012,Tuesday,October,Ground1,1045,15
19,2012,Monday,October,Ground1,555,9
20,2012,Sunday,October,Ground1,440,8
21,2012,Monday,October,Ground1,540,10
22,2012,Wednesday,October,Ground1,615,11
23,2012,Sunday,October,Ground1,1025,15
24,2012,Monday,October,Ground1,570,9
25,2012,Friday,October,Ground1,805,12
26,2012,Sunday,October,Ground1,1095,17
27,2012,Saturday,October,Ground1,520,10
28,2012,Monday,October,Ground1,590,9
29,2012,Tuesday,October,Ground1,465,7
30,2012,Saturday,October,Ground1,1000,16
1,2012,Thursday,November,Ground1,730,11
2,2012,Sunday,November,Ground1,775,13
3,2012,Tuesday,November,Ground1,620,9
4,2012,Friday,November,Ground1,715,11
5,2012,Tuesday,November,Ground1,675,10
6,2012,Saturday,November,Ground1,495,8
7,2012,Monday,November,Ground1,835,12
8,2012,Friday,November,Ground1,495,8
9,2012,Monday,November,Ground1,890,12
10,2012,Saturday,November,Ground1,805,13
11,2012,Sunday,November,Ground1,850,13
12,2012,Friday,November,Ground1,925,14
13,2012,Tuesday,November,Ground1,485,9
14,2012,Monday,November,Ground1,570,10
15,2012,Wednesday,November,Ground1,865,14
16,2012,Saturday,November,Ground1,955,14
17,2012,Friday,November,Ground1,915,15
18,2012,Monday,November,Ground1,1040,14
19,2012,Wednesday,November,Ground1,540,10
20,2012,Saturday,November,Ground1,800,14
21,2012,Monday,November,Ground1,675,11
22,2012,Thursday,November,Ground1,1015,15
23,2012,Monday,November,Ground1,290,6
24,2012,Tuesday,November,Ground1,795,11
25,2012,Saturday,November,Ground1,1030,15
26,2012,Monday,November,Ground1,355,6
27,2012,Wednesday,November,Ground1,410,7
28,2012,Monday,November,Ground1,580,9
29,2012,Tuesday,November,Ground1,955,14
30,2012,Saturday,November,Ground1,800,14
1,2012,Friday,December,Ground1,635,11
2,2012,Sunday,December,Ground1,780,13
3,2012,Tuesday,December,Ground1,855,12
4,2012,Wednesday,December,Ground1,880,14
5,2012,Wednesday,December,Ground1,960,16
6,2012,Sunday,December,Ground1,945,15
7,2012,Monday,December,Ground1,740,13
8,2012,Saturday,December,Ground1,1175,18
9,2012,Sunday,December,Ground1,650,9
10,2012,Thursday,December,Ground1,540,11
11,2012,Saturday,December,Ground1,940,13
12,2012,Friday,December,Ground1,315,7
13,2012,Tuesday,December,Ground1,610,8
14,2012,Monday,December,Ground1,875,13
15,2012,Saturday,December,Ground1,480,9
16,2012,Wednesday,December,Ground1,415,8
17,2012,Monday,December,Ground1,960,16
18,2012,Friday,December,Ground1,635,10
19,2012,Thursday,December,Ground1,600,10
20,2012,Saturday,December,Ground1,1230,18
21,2012,Monday,December,Ground1,595,10
22,2012,Wednesday,December,Ground1,770,11
23,2012,Sunday,December,Ground1,695,12
24,2012,Saturday,December,Ground1,780,14
25,2012,Thursday,December,Ground1,725,12
26,2012,Sunday,December,Ground1,640,10
27,2012,Saturday,December,Ground1,770,11
28,2012,Monday,December,Ground1,570,9
29,2012,Tuesday,December,Ground1,680,12
30,2012,Tuesday,December,Ground1,955,16
1,2012,Monday,January,Ground2,1030,16
2,2012,Wednesday,January,Ground2,625,10
3,2012,Sunday,January,Ground2,1010,18
4,2012,Saturday,January,Ground2,1115,19
5,2012,Sunday,January,Ground2,1005,16
6,2012,Sunday,January,Ground2,1000,17
7,2012,Monday,January,Ground2,865,14
8,2012,Sunday,January,Ground2,1185,19
9,2012,Tuesday,January,Ground2,585,10
10,2012,Sunday,January,Ground2,860,15
11,2012,Monday,January,Ground2,785,10
12,2012,Thursday,January,Ground2,905,14
13,2012,Tuesday,January,Ground2,410,7
14,2012,Monday,January,Ground2,650,10
15,2012,Wednesday,January,Ground2,890,15
16,2012,Monday,January,Ground2,775,11
17,2012,Wednesday,January,Ground2,525,9
18,2012,Friday,January,Ground2,790,13
19,2012,Friday,January,Ground2,595,9
20,2012,Sunday,January,Ground2,880,13
21,2012,Monday,January,Ground2,790,11
22,2012,Thursday,January,Ground2,460,8
23,2012,Monday,January,Ground2,980,16
24,2012,Thursday,January,Ground2,865,15
25,2012,Monday,January,Ground2,785,12
26,2012,Sunday,January,Ground2,955,15
27,2012,Monday,January,Ground2,495,9
28,2012,Monday,January,Ground2,685,9
29,2012,Tuesday,January,Ground2,445,8
30,2012,Monday,January,Ground2,685,11
1,2012,Tuesday,February,Ground2,1125,18
2,2012,Sunday,February,Ground2,1090,15
3,2012,Monday,February,Ground2,1030,16
4,2012,Friday,February,Ground2,1330,20
5,2012,Friday,February,Ground2,1310,19
6,2012,Thursday,February,Ground2,875,13
7,2012,Monday,February,Ground2,1205,18
8,2012,Thursday,February,Ground2,1060,17
9,2012,Friday,February,Ground2,885,13
10,2012,Tuesday,February,Ground2,1160,19
11,2012,Wednesday,February,Ground2,855,13
12,2012,Friday,February,Ground2,1030,18
13,2012,Friday,February,Ground2,980,16
14,2012,Monday,February,Ground2,845,14
15,2012,Sunday,February,Ground2,1335,19
16,2012,Tuesday,February,Ground2,930,15
17,2012,Monday,February,Ground2,995,17
18,2012,Tuesday,February,Ground2,1005,16
19,2012,Saturday,February,Ground2,1160,19
20,2012,Thursday,February,Ground2,985,14
21,2012,Monday,February,Ground2,835,13
22,2012,Saturday,February,Ground2,1260,18
23,2012,Sunday,February,Ground2,1200,17
24,2012,Sunday,February,Ground2,1625,22
25,2012,Monday,February,Ground2,890,16
26,2012,Saturday,February,Ground2,1540,22
27,2012,Monday,February,Ground2,1065,18
28,2012,Monday,February,Ground2,1285,20
29,2012,Saturday,February,Ground2,1810,24
30,2012,Friday,February,Ground2,1110,17
1,2012,Wednesday,March,Ground2,1245,19
2,2012,Tuesday,March,Ground2,1390,19
3,2012,Saturday,March,Ground2,1110,17
4,2012,Tuesday,March,Ground2,1365,20
5,2012,Friday,March,Ground2,900,14
6,2012,Tuesday,March,Ground2,1105,16
7,2012,Monday,March,Ground2,940,14
8,2012,Sunday,March,Ground2,1520,22
9,2012,Monday,March,Ground2,850,13
10,2012,Tuesday,March,Ground2,1165,17
11,2012,Tuesday,March,Ground2,995,17
12,2012,Thursday,March,Ground2,970,15
13,2012,Monday,March,Ground2,970,14
14,2012,Monday,March,Ground2,1150,19
15,2012,Friday,March,Ground2,1135,18
16,2012,Sunday,March,Ground2,1090,18
17,2012,Wednesday,March,Ground2,1395,21
18,2012,Thursday,March,Ground2,1180,17
19,2012,Thursday,March,Ground2,1105,16
20,2012,Sunday,March,Ground2,1220,18
21,2012,Monday,March,Ground2,915,14
22,2012,Sunday,March,Ground2,1475,21
23,2012,Saturday,March,Ground2,1485,23
24,2012,Thursday,March,Ground2,1275,19
25,2012,Wednesday,March,Ground2,1090,16
26,2012,Saturday,March,Ground2,1290,21
27,2012,Tuesday,March,Ground2,1155,18
28,2012,Monday,March,Ground2,935,16
29,2012,Tuesday,March,Ground2,1280,19
30,2012,Tuesday,March,Ground2,1040,18
1,2012,Thursday,April,Ground2,1505,25
2,2012,Sunday,April,Ground2,2235,32
3,2012,Wednesday,April,Ground2,1490,23
4,2012,Friday,April,Ground2,1785,29
5,2012,Monday,April,Ground2,1155,19
6,2012,Thursday,April,Ground2,2095,31
7,2012,Monday,April,Ground2,1645,25
8,2012,Thursday,April,Ground2,1690,26
9,2012,Tuesday,April,Ground2,2065,29
10,2012,Monday,April,Ground2,1165,20
11,2012,Sunday,April,Ground2,2185,33
12,2012,Sunday,April,Ground2,1665,26
13,2012,Thursday,April,Ground2,1745,27
14,2012,Monday,April,Ground2,1545,24
15,2012,Wednesday,April,Ground2,1615,25
16,2012,Sunday,April,Ground2,1645,23
17,2012,Thursday,April,Ground2,1255,21
18,2012,Thursday,April,Ground2,2020,29
19,2012,Monday,April,Ground2,1460,25
20,2012,Friday,April,Ground2,1395,21
21,2012,Monday,April,Ground2,1905,27
22,2012,Saturday,April,Ground2,1355,22
23,2012,Monday,April,Ground2,1125,18
24,2012,Wednesday,April,Ground2,1875,29
25,2012,Monday,April,Ground2,1165,19
26,2012,Sunday,April,Ground2,1975,29
27,2012,Monday,April,Ground2,1650,27
28,2012,Monday,April,Ground2,1805,27
29,2012,Saturday,April,Ground2,1655,28
30,2012,Saturday,April,Ground2,1470,23
1,2012,Friday,May,Ground2,1620,25
2,2012,Sunday,May,Ground2,1585,25
3,2012,Wednesday,May,Ground2,1585,27
4,2012,Sunday,May,Ground2,1720,25
5,2012,Tuesday,May,Ground2,2020,29
6,2012,Monday,May,Ground2,1200,18
7,2012,Monday,May,Ground2,2165,28
8,2012,Sunday,May,Ground2,1570,25
9,2012,Sunday,May,Ground2,1670,27
10,2012,Tuesday,May,Ground2,1615,25
11,2012,Saturday,May,Ground2,1800,27
12,2012,Friday,May,Ground2,1420,21
13,2012,Tuesday,May,Ground2,1505,25
14,2012,Monday,May,Ground2,1745,25
15,2012,Thursday,May,Ground2,1960,28
16,2012,Saturday,May,Ground2,1835,29
17,2012,Monday,May,Ground2,1485,22
18,2012,Monday,May,Ground2,995,18
19,2012,Tuesday,May,Ground2,1990,29
20,2012,Monday,May,Ground2,1910,28
21,2012,Monday,May,Ground2,1745,27
22,2012,Saturday,May,Ground2,1715,28
23,2012,Saturday,May,Ground2,1625,25
24,2012,Wednesday,May,Ground2,2075,30
25,2012,Friday,May,Ground2,1885,28
26,2012,Wednesday,May,Ground2,1550,21
27,2012,Tuesday,May,Ground2,1945,28
28,2012,Monday,May,Ground2,1475,25
29,2012,Thursday,May,Ground2,1875,27
30,2012,Thursday,May,Ground2,1490,22
1,2012,Saturday,June,Ground2,1915,28
2,2012,Saturday,June,Ground2,1385,22
3,2012,Monday,June,Ground2,1420,23
4,2012,Friday,June,Ground2,1305,18
5,2012,Tuesday,June,Ground2,2250,31
6,2012,Saturday,June,Ground2,2055,30
7,2012,Monday,June,Ground2,2060,28
8,2012,Sunday,June,Ground2,1575,25
9,2012,Sunday,June,Ground2,2430,34
10,2012,Tuesday,June,Ground2,1890,29
11,2012,Monday,June,Ground2,1600,25
12,2012,Tuesday,June,Ground2,1705,28
13,2012,Tuesday,June,Ground2,1845,27
14,2012,Monday,June,Ground2,1770,29
15,2012,Monday,June,Ground2,1585,26
16,2012,Tuesday,June,Ground2,2205,30
17,2012,Thursday,June,Ground2,1830,27
18,2012,Sunday,June,Ground2,1885,28
19,2012,Wednesday,June,Ground2,1860,28
20,2012,Tuesday,June,Ground2,1595,24
21,2012,Monday,June,Ground2,1475,23
22,2012,Tuesday,June,Ground2,1445,21
23,2012,Saturday,June,Ground2,2060,32
24,2012,Wednesday,June,Ground2,1690,25
25,2012,Saturday,June,Ground2,1880,26
26,2012,Sunday,June,Ground2,2010,30
27,2012,Sunday,June,Ground2,2035,33
28,2012,Monday,June,Ground2,1465,22
29,2012,Monday,June,Ground2,1425,22
30,2012,Monday,June,Ground2,1540,25
1,2012,Sunday,July,Ground2,1535,24
2,2012,Friday,July,Ground2,1870,27
3,2012,Tuesday,July,Ground2,1755,26
4,2012,Wednesday,July,Ground2,1520,24
5,2012,Thursday,July,Ground2,1400,23
6,2012,Sunday,July,Ground2,1820,29
7,2012,Monday,July,Ground2,1895,29
8,2012,Monday,July,Ground2,2050,29
9,2012,Monday,July,Ground2,1635,22
10,2012,Monday,July,Ground2,1700,27
11,2012,Sunday,July,Ground2,1755,27
12,2012,Friday,July,Ground2,1765,28
13,2012,Tuesday,July,Ground2,1685,28
14,2012,Monday,July,Ground2,1430,21
15,2012,Sunday,July,Ground2,1975,30
16,2012,Wednesday,July,Ground2,1320,21
17,2012,Friday,July,Ground2,1480,22
18,2012,Monday,July,Ground2,2165,31
19,2012,Thursday,July,Ground2,1530,22
20,2012,Monday,July,Ground2,1630,23
21,2012,Monday,July,Ground2,1860,29
22,2012,Monday,July,Ground2,1435,21
23,2012,Saturday,July,Ground2,1495,23
24,2012,Thursday,July,Ground2,1830,28
25,2012,Thursday,July,Ground2,1710,28
26,2012,Wednesday,July,Ground2,1715,24
27,2012,Saturday,July,Ground2,1665,28
28,2012,Monday,July,Ground2,1850,28
29,2012,Sunday,July,Ground2,1730,27
30,2012,Thursday,July,Ground2,1595,24
1,2012,Monday,August,Ground2,610,9
2,2012,Wednesday,August,Ground2,290,5
3,2012,Saturday,August,Ground2,320,6
4,2012,Sunday,August,Ground2,690,11
5,2012,Tuesday,August,Ground2,305,5
6,2012,Thursday,August,Ground2,255,5
7,2012,Monday,August,Ground2,220,4
8,2012,Thursday,August,Ground2,100,3
9,2012,Friday,August,Ground2,285,6
10,2012,Tuesday,August,Ground2,310,6
11,2012,Sunday,August,Ground2,220,4
12,2012,Tuesday,August,Ground2,0,0
13,2012,Friday,August,Ground2,335,6
14,2012,Monday,August,Ground2,365,6
15,2012,Saturday,August,Ground2,390,7
16,2012,Saturday,August,Ground2,540,8
17,2012,Monday,August,Ground2,150,3
18,2012,Tuesday,August,Ground2,90,2
19,2012,Saturday,August,Ground2,440,7
20,2012,Tuesday,August,Ground2,545,8
21,2012,Monday,August,Ground2,220,4
22,2012,Thursday,August,Ground2,0,1
23,2012,Sunday,August,Ground2,330,5
24,2012,Saturday,August,Ground2,220,5
25,2012,Wednesday,August,Ground2,55,2
26,2012,Saturday,August,Ground2,425,7
27,2012,Tuesday,August,Ground2,610,8
28,2012,Monday,August,Ground2,220,5
29,2012,Friday,August,Ground2,150,3
30,2012,Friday,August,Ground2,55,2
1,2012,Tuesday,September,Ground2,100,2
2,2012,Wednesday,September,Ground2,245,5
3,2012,Saturday,September,Ground2,620,9
4,2012,Friday,September,Ground2,360,5
5,2012,Sunday,September,Ground2,140,3
6,2012,Saturday,September,Ground2,740,12
7,2012,Monday,September,Ground2,70,2
8,2012,Tuesday,September,Ground2,315,6
9,2012,Thursday,September,Ground2,275,5
10,2012,Saturday,September,Ground2,0,1
11,2012,Wednesday,September,Ground2,285,5
12,2012,Sunday,September,Ground2,365,7
13,2012,Tuesday,September,Ground2,245,5
14,2012,Monday,September,Ground2,180,4
15,2012,Thursday,September,Ground2,395,6
16,2012,Thursday,September,Ground2,290,5
17,2012,Saturday,September,Ground2,830,13
18,2012,Sunday,September,Ground2,520,8
19,2012,Monday,September,Ground2,190,5
20,2012,Thursday,September,Ground2,350,6
21,2012,Monday,September,Ground2,0,0
22,2012,Saturday,September,Ground2,70,2
23,2012,Wednesday,September,Ground2,280,5
24,2012,Saturday,September,Ground2,495,7
25,2012,Thursday,September,Ground2,240,5
26,2012,Sunday,September,Ground2,375,7
27,2012,Tuesday,September,Ground2,0,1
28,2012,Monday,September,Ground2,245,5
29,2012,Friday,September,Ground2,390,7
30,2012,Saturday,September,Ground2,605,10
1,2012,Wednesday,October,Ground2,605,9
2,2012,Wednesday,October,Ground2,575,8
3,2012,Monday,October,Ground2,585,10
4,2012,Tuesday,October,Ground2,425,7
5,2012,Wednesday,October,Ground2,835,13
6,2012,Wednesday,October,Ground2,980,15
7,2012,Monday,October,Ground2,790,14
8,2012,Sunday,October,Ground2,1050,17
9,2012,Friday,October,Ground2,680,10
10,2012,Sunday,October,Ground2,985,16
11,2012,Friday,October,Ground2,655,9
12,2012,Saturday,October,Ground2,1135,16
13,2012,Sunday,October,Ground2,920,15
14,2012,Monday,October,Ground2,615,10
15,2012,Wednesday,October,Ground2,1100,16
16,2012,Wednesday,October,Ground2,500,11
17,2012,Wednesday,October,Ground2,765,12
18,2012,Wednesday,October,Ground2,1175,16
19,2012,Saturday,October,Ground2,1335,19
20,2012,Thursday,October,Ground2,605,10
